"File","Lines","Theorems","TheoremsWithHypBinders","AxiomDecls","SorryInCode","VariableDecls"
"D:\VS Code\NL\NL\Naveier stockes\Checklist.lean","15","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes.lean","12","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Basic.lean","1","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Combinatorics\CauchyFunctional.lean","77","1","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Combinatorics\HypergraphZ3.lean","145","7","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundation\FunctionalSpaces.lean","66","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundation\LittlewoodPaley.lean","73","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundation\SingularIntegrals.lean","37","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundation\TorusMath.lean","216","14","3","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundation\VanDerCorput.lean","41","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundations\AddCircleInstances.lean","19","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundations\ExactFormula.lean","142","2","1","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundations\Operators.lean","267","13","3","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundations\Sobolev.lean","187","4","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Foundations\Torus3D.lean","42","1","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Geometry\AutoLinearization.lean","129","4","3","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Physics\AlphaBound.lean","131","5","2","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Physics\CauchySchwarz.lean","45","2","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Physics\Helicity.lean","166","6","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Physics\NavierStokesEq.lean","54","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Physics\TopologicalLock.lean","64","2","1","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Rigidity\PhaseRigidity.lean","64","4","1","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Spectral\HessianDegeneracy.lean","47","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Spectral\WaleffeBasis.lean","36","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Synthesis\BonyClosure.lean","70","1","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\NavierStokes\Synthesis\GlobalRegularity.lean","137","6","1","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_autolinearization.lean","70","0","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_bony_proof.lean","25","1","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_bonyclosure.lean","41","1","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_density_lemmas.lean","12","2","2","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_globalregularity.lean","57","4","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_hypergraph.lean","79","4","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_interior_proof.lean","37","2","0","0","0","0"
"D:\VS Code\NL\NL\Naveier stockes\test_phaserigidity.lean","27","1","0","0","0","0"
